date,event_id,tournament,category,surface,player1,player2,start_ts,odds_p1,odds_p2
2025-08-29,14494891,"US Open, New York, USA",ATP,Hard,Adam Walton,Coleman Wong,1756391400,1.9,1.9
2025-08-29,14494890,"US Open, New York, USA",ATP,Hard,Lorenzo Musetti,David Goffin,1756394100,1.9,1.9
2025-08-29,14494898,"US Open, New York, USA",ATP,Hard,Tristan Boyer,Andrey Rublev,1756399500,1.9,1.9
2025-08-29,14494887,"US Open, New York, USA",ATP,Hard,Zizou Bergs,Jack Draper,1756386000,1.9,1.9
2025-08-29,14494886,"US Open, New York, USA",ATP,Hard,Jenson Brooksby,Flavio Cobolli,1756390200,1.9,1.9
2025-08-29,14494880,"US Open, New York, USA",ATP,Hard,Karen Khachanov,Kamil Majchrzak,1756404600,1.9,1.9
2025-08-29,14494884,"US Open, New York, USA",ATP,Hard,Leandro Riedi,Francisco Cerundolo,1756388400,1.9,1.9
2025-08-29,14494885,"US Open, New York, USA",ATP,Hard,Valentin Royer,Denis Shapovalov,1756390200,1.9,1.9
2025-08-29,14494893,"US Open, New York, USA",ATP,Hard,Jannik Sinner,Alexei Popyrin,1756406400,1.9,1.9
2025-08-29,14494899,"US Open, New York, USA",ATP,Hard,Gabriel Diallo,Jaume Munar,1756402500,1.9,1.9
2025-08-29,14494888,"US Open, New York, USA",ATP,Hard,Alexander Bublik,Tristan Schoolkate,1756403100,1.9,1.9
2025-08-29,14494881,"US Open, New York, USA",ATP,Hard,Roman Safiullin,Felix Auger-Aliassime,1756414800,1.9,1.9
2025-08-29,14494892,"US Open, New York, USA",ATP,Hard,Stefanos Tsitsipas,Daniel Altmaier,1756405500,1.9,1.9
2025-08-29,14494897,"US Open, New York, USA",ATP,Hard,Shintaro Mochizuki,Alex de Minaur,1756410300,1.9,1.9
2025-08-29,14494883,"US Open, New York, USA",ATP,Hard,Alexander Zverev,Jacob Fearnley,1756413900,1.9,1.9
2025-08-29,14494895,"US Open, New York, USA",ATP,Hard,Nuno Borges,Tommy Paul,1756423500,1.9,1.9
2025-08-29,14494910,"US Open, New York, USA",ATP,Hard,Ben Shelton,Adrian Mannarino,1756473300,1.9,1.9
